Country ISO,Country,Section,Question,Description,Value,Unit
TUR,Türkiye,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.5,%
TUR,Türkiye,Age Group,Q1. Age 18-35,Respondents aged 18-35,35.3,%
TUR,Türkiye,Age Group,Q1. Age 36-59,Respondents aged 36-59,40.7,%
TUR,Türkiye,Age Group,Q1. Age 60+,Respondents aged 60+,18.5,%
USA,United States of America,Age Group,Q1. Age 15-17,Respondents aged 15-17,5.1,%
USA,United States of America,Age Group,Q1. Age 18-35,Respondents aged 18-35,29.68,%
USA,United States of America,Age Group,Q1. Age 36-59,Respondents aged 36-59,36.73,%
USA,United States of America,Age Group,Q1. Age 60+,Respondents aged 60+,28.5,%
ZAF,South Africa,Age Group,Q1. Age 15-17,Respondents aged 15-17,6.8,%
ZAF,South Africa,Age Group,Q1. Age 18-35,Respondents aged 18-35,42.45,%
ZAF,South Africa,Age Group,Q1. Age 36-59,Respondents aged 36-59,37.34,%
ZAF,South Africa,Age Group,Q1. Age 60+,Respondents aged 60+,13.4,%
AUS,Australia,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,3.86,%
AUS,Australia,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,17.75,%
AUS,Australia,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,48.77,%
AUS,Australia,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,29.62,%
BGD,Bangladesh,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,8.81,%
BGD,Bangladesh,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,7.07,%
BGD,Bangladesh,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,56.98,%
BGD,Bangladesh,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,27.13,%
BRA,Brazil,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,10.51,%
BRA,Brazil,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,23.74,%
BRA,Brazil,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,40.71,%
BRA,Brazil,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,25.04,%
CHN,China,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,14.99,%
CHN,China,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,14.19,%
CHN,China,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,59.21,%
CHN,China,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,11.61,%
COM,Comoros,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,6.26,%
COM,Comoros,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,30.28,%
COM,Comoros,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,43.35,%
COM,Comoros,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,20.11,%
DEU,Germany,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,0.98,%
DEU,Germany,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,20.87,%
DEU,Germany,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,46.31,%
DEU,Germany,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,31.84,%
EGY,Egypt,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,16.79,%
EGY,Egypt,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,25.25,%
EGY,Egypt,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,31.59,%
EGY,Egypt,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,26.36,%
FJI,Fiji,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,9.13,%
FJI,Fiji,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,18.64,%
FJI,Fiji,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,53.52,%
FJI,Fiji,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,18.71,%
GRC,Greece,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,3.38,%
GRC,Greece,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,27.76,%
GRC,Greece,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,52.92,%
GRC,Greece,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,15.94,%
IDN,Indonesia,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,1.78,%
IDN,Indonesia,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,9.89,%
IDN,Indonesia,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,52.57,%
IDN,Indonesia,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,35.76,%
IND,India,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,9.96,%
IND,India,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,20.89,%
IND,India,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,49.17,%
IND,India,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,19.98,%
JPN,Japan,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,3.08,%
JPN,Japan,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,32.27,%
JPN,Japan,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,44.83,%
JPN,Japan,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,19.82,%
KGZ,Kyrgyzstan,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,15.07,%
KGZ,Kyrgyzstan,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,8.89,%
KGZ,Kyrgyzstan,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,31.59,%
KGZ,Kyrgyzstan,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,44.46,%
KOR,Republic of Korea,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,5.4,%
KOR,Republic of Korea,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,29,%
AUS,Australia,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,15.33,%
BGD,Bangladesh,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,3.5,%
BRA,Brazil,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,6.34,%
CHN,China,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,5.45,%
COM,Comoros,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,5.5,%
DEU,Germany,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,4.19,%
EGY,Egypt,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,9.86,%
FJI,Fiji,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,13.78,%
GRC,Greece,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,4.95,%
IDN,Indonesia,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,8.46,%
IND,India,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,8.62,%
JPN,Japan,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,6.01,%
KGZ,Kyrgyzstan,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,5.5,%
KOR,Republic of Korea,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,6.65,%
NGA,Nigeria,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,12.82,%
PAK,Pakistan,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,6.68,%
RUS,Russian Federation,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,15.12,%
TUN,Tunisia,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,14.31,%
TUR,Türkiye,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,6.84,%
USA,United States of America,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,10.1,%
ZAF,South Africa,Familiarity with AI,Q8. AI Familiarity: A Lot,AI Familiarity: A Lot,20.09,%
AUS,Australia,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,30.63,%
BGD,Bangladesh,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,23.81,%
BRA,Brazil,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,29.59,%
CHN,China,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,26.5,%
COM,Comoros,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,21.16,%
DEU,Germany,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,47.57,%
EGY,Egypt,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,21.8,%
FJI,Fiji,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,29.58,%
GRC,Greece,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,23.82,%
IDN,Indonesia,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,33.38,%
IND,India,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,23.27,%
JPN,Japan,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,32.14,%
KGZ,Kyrgyzstan,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,47.33,%
KOR,Republic of Korea,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,38.43,%
NGA,Nigeria,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,15.61,%
PAK,Pakistan,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,24.31,%
RUS,Russian Federation,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,33.25,%
TUN,Tunisia,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,46.94,%
TUR,Türkiye,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,38.83,%
USA,United States of America,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,43.29,%
ZAF,South Africa,Familiarity with AI,Q8. AI Familiarity: Some,AI Familiarity: Some,27.99,%
AUS,Australia,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,38.6,%
BGD,Bangladesh,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,24.9,%
BRA,Brazil,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,42.57,%
CHN,China,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,51.98,%
COM,Comoros,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,34.73,%
DEU,Germany,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,44.19,%
EGY,Egypt,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,39.1,%
FJI,Fiji,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,39.18,%
GRC,Greece,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,48.32,%
IDN,Indonesia,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,49.78,%
IND,India,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,36.49,%
JPN,Japan,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,44.54,%
KGZ,Kyrgyzstan,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,11.12,%
KOR,Republic of Korea,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,44.37,%
NGA,Nigeria,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,39.62,%
PAK,Pakistan,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,43.96,%
RUS,Russian Federation,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,31.25,%
TUN,Tunisia,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,16.89,%
TUR,Türkiye,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,34.45,%
USA,United States of America,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,40.82,%
ZAF,South Africa,Familiarity with AI,Q8. AI Familiarity: A Little,AI Familiarity: A Little,37.8,%
AUS,Australia,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,14.76,%
BGD,Bangladesh,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,24.45,%
BRA,Brazil,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,19.52,%
CHN,China,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,11.78,%
COM,Comoros,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,36.59,%
DEU,Germany,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,2.91,%
EGY,Egypt,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,16.08,%
FJI,Fiji,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,11.25,%
GRC,Greece,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,21.21,%
IDN,Indonesia,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,3.02,%
IND,India,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,23.87,%
JPN,Japan,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,16.86,%
KGZ,Kyrgyzstan,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,35.26,%
KOR,Republic of Korea,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,5.48,%
NGA,Nigeria,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,21.85,%
PAK,Pakistan,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,23.26,%
RUS,Russian Federation,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,12.76,%
TUN,Tunisia,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,15.1,%
TUR,Türkiye,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,19.21,%
USA,United States of America,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,5.17,%
ZAF,South Africa,Familiarity with AI,Q8. AI Familiarity: Nothing,AI Familiarity: Nothing,13.15,%
AUS,Australia,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.68,%
BGD,Bangladesh,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,23.34,%
BRA,Brazil,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,1.99,%
CHN,China,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,4.29,%
COM,Comoros,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,2.02,%
DEU,Germany,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,1.15,%
EGY,Egypt,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,13.16,%
FJI,Fiji,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,6.21,%
GRC,Greece,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,1.7,%
IDN,Indonesia,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,5.37,%
IND,India,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,7.75,%
JPN,Japan,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.45,%
KGZ,Kyrgyzstan,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.79,%
KOR,Republic of Korea,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,5.07,%
NGA,Nigeria,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,10.1,%
PAK,Pakistan,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,1.79,%
RUS,Russian Federation,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,7.62,%
TUN,Tunisia,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,6.76,%
TUR,Türkiye,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.67,%
USA,United States of America,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.62,%
ZAF,South Africa,Familiarity with AI,Q8. AI Familiarity: Don't Know,AI Familiarity: Don't Know,0.97,%
NGA,Nigeria,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,14.92,%
PAK,Pakistan,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,2.92,%
RUS,Russian Federation,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,5.67,%
TUN,Tunisia,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,26.56,%
TUR,Türkiye,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,4.45,%
USA,United States of America,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,3.8,%
ZAF,South Africa,Culture and AI Perception,Q13. AI Perception: Always,AI Perception: Always,12.84,%
NGA,Nigeria,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,26.28,%
PAK,Pakistan,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,10.97,%
RUS,Russian Federation,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,18.71,%
TUN,Tunisia,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,24.07,%
TUR,Türkiye,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,11,%
USA,United States of America,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,21.15,%
ZAF,South Africa,Culture and AI Perception,Q13. AI Perception: Most of the time,AI Perception: Most of the time,20.91,%
KOR,Republic of Korea,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,50.08,%
NGA,Nigeria,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,43.56,%
PAK,Pakistan,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,38.6,%
RUS,Russian Federation,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,33.92,%
TUN,Tunisia,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,40.58,%
TUR,Türkiye,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,39.33,%
USA,United States of America,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,50.69,%
ZAF,South Africa,Culture and AI Perception,Q13. AI Perception: Sometimes,AI Perception: Sometimes,45.52,%
KOR,Republic of Korea,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,15.51,%
NGA,Nigeria,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,15.23,%
PAK,Pakistan,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,47.5,%
RUS,Russian Federation,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,41.7,%
TUN,Tunisia,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,8.78,%
TUR,Türkiye,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,45.22,%
USA,United States of America,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,24.36,%
ZAF,South Africa,Culture and AI Perception,Q13. AI Perception: Never,AI Perception: Never,20.72,%
AUS,Australia,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,27.26,%
BGD,Bangladesh,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,11.82,%
BRA,Brazil,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,9.84,%
CHN,China,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,3.96,%
COM,Comoros,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,8.28,%
DEU,Germany,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,22.76,%
EGY,Egypt,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,15.44,%
FJI,Fiji,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,12.62,%
GRC,Greece,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,12.02,%
IDN,Indonesia,AI Impact,Q21. Increase productivity: Very Unlikely,AI will increase productivity: Very Unlikely,4.09,%
